timestamp,open,high,low,close,volume
2023-08-24 19:55:00,143.8000,143.8000,143.5500,143.5500,16
2023-08-24 19:45:00,143.5600,143.5600,143.5500,143.5500,501
2023-08-24 19:35:00,143.5600,143.5600,143.5600,143.5600,5
2023-08-24 19:20:00,143.6000,143.6000,143.6000,143.6000,5
2023-08-24 19:10:00,143.8000,143.8000,143.8000,143.8000,1
2023-08-24 19:00:00,143.5500,143.5600,143.5500,143.5600,332050
2023-08-24 18:50:00,143.5700,143.5700,143.5600,143.5600,26
2023-08-24 18:45:00,143.7500,143.7500,143.7500,143.7500,4
2023-08-24 18:40:00,143.5600,143.8000,143.5600,143.8000,4
2023-08-24 18:35:00,143.5500,143.5600,143.5500,143.5600,3
2023-08-24 18:30:00,143.5500,143.5500,143.5500,143.5500,332045
2023-08-24 18:25:00,143.5600,144.0800,143.5600,144.0800,8
2023-08-24 18:20:00,143.7990,143.8000,143.7990,143.8000,199
2023-08-24 18:15:00,143.5600,143.5600,143.5500,143.5600,37
2023-08-24 18:10:00,143.5500,143.5500,143.5500,143.5500,14
2023-08-24 18:00:00,143.8000,143.8000,143.8000,143.8000,40
2023-08-24 17:55:00,143.7500,143.8000,143.7500,143.8000,4
2023-08-24 17:50:00,143.5600,143.8000,143.5600,143.7500,12
2023-08-24 17:35:00,143.5600,143.5600,143.5600,143.5600,1
2023-08-24 17:30:00,143.5500,143.5500,143.5500,143.5500,28
2023-08-24 17:25:00,143.5000,143.5330,143.5000,143.5330,58
2023-08-24 17:20:00,143.5000,143.5000,143.5000,143.5000,75
2023-08-24 16:55:00,143.5500,143.7600,143.5000,143.5050,4563
2023-08-24 16:50:00,143.5000,143.7000,143.5000,143.7000,570
2023-08-24 16:45:00,143.5000,143.5500,143.5000,143.5500,44
2023-08-24 16:40:00,143.5000,143.5500,143.5000,143.5500,27
2023-08-24 16:35:00,143.5500,143.5500,143.5000,143.5000,703
2023-08-24 16:30:00,143.5000,143.5500,143.5000,143.5500,7
2023-08-24 16:25:00,143.5000,143.5100,143.5000,143.5000,2133
2023-08-24 16:20:00,143.5000,143.5000,143.5000,143.5000,199
2023-08-24 16:15:00,143.5500,143.5500,143.5500,143.5500,1
2023-08-24 16:10:00,143.5500,143.5500,143.5500,143.5500,338648
2023-08-24 16:05:00,143.5500,143.5500,143.4400,143.4800,582
2023-08-24 16:00:00,143.5400,143.6000,143.4410,143.5000,717681
2023-08-24 15:55:00,143.6000,143.7950,143.5000,143.5400,227400
2023-08-24 15:50:00,143.7400,143.8200,143.5900,143.6100,128407
2023-08-24 15:45:00,143.9000,143.9000,143.6700,143.7400,49264
2023-08-24 15:40:00,143.9600,144.0400,143.9000,143.9200,47409
2023-08-24 15:35:00,144.0450,144.0700,143.9400,143.9700,44904
2023-08-24 15:30:00,144.2600,144.2800,144.0510,144.0600,45424
2023-08-24 15:25:00,144.2300,144.2900,144.2000,144.2550,41073
2023-08-24 15:20:00,144.2000,144.3600,144.0980,144.2300,47160
2023-08-24 15:15:00,144.1600,144.2400,144.1600,144.2000,59397
2023-08-24 15:10:00,144.1450,144.2100,144.1280,144.1600,26680
2023-08-24 15:05:00,144.0600,144.1700,144.0600,144.1400,32635
2023-08-24 15:00:00,144.1000,144.2600,144.0600,144.0600,61897
